dataset,variant,n_agents,frac_bimodal_strict_>0.3,frac_bimodal_loose_>0.2,frac_bimodal_soft_>0.1,frac_strong_extreme_>0.7,frac_neutral_dominant,"mean_min(P1,P7)",mean_P1,mean_P7,mean_P4
synthetic,own-last,25200,0.0,0.0,0.0,0.019484126984126986,0.03813492063492063,5.583470538453279e-06,1.0255183716656658e-05,0.04965226665579195,0.10112752890472199
synthetic,summary,2800,0.0,0.0,0.0,0.008571428571428572,0.08,2.1705244700186254e-05,3.358905534576433e-05,0.025932965917279935,0.1302787581906629
moral_stories,own-last,67200,0.000550595238095238,0.0010714285714285715,0.002693452380952381,0.049345238095238095,0.1115327380952381,0.0010506289617093394,0.006578603757680589,0.061245270241268024,0.18195125853538982
moral_stories,summary,2800,0.0,0.0,0.0,0.07714285714285714,0.26571428571428574,0.0006518644242564492,0.0014371029900616054,0.090800477204476,0.28899070802628557
harmbench_standard,own-last,33600,0.028273809523809524,0.06160714285714286,0.11711309523809524,0.45714285714285713,0.2294642857142857,0.035026365723653835,0.1487895050522367,0.40531434330924726,0.2563104664608903
harmbench_standard,summary,2800,0.04,0.07142857142857142,0.10857142857142857,0.3485714285714286,0.22285714285714286,0.0351574182503664,0.2594627440437276,0.18537926958006753,0.2504225494686396
harmbench_contextual,own-last,16800,0.03208333333333333,0.05619047619047619,0.09869047619047619,0.4361309523809524,0.07660714285714286,0.030395957285838212,0.124540394656675,0.38782224832257883,0.12128247602100471
harmbench_contextual,summary,184,0.0,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.2608695652173913,0.022738703316359077,0.06310103734505536,0.23222608242479204,0.32164807093971387
harmbench_copyright,own-last,16800,0.0,0.0,0.0,0.04297619047619047,0.16827380952380952,6.802705272217936e-05,0.0005590719365186152,0.05651762898510473,0.21535793146875593
