dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,ev_cr_0.5,ev_cr_1.0,mean_shift,std_shift
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,450,0.9488888888888889,0.9355555555555556,1.9599516815229632,0.6433295429500505
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,450,0.9555555555555556,0.9288888888888889,1.96273469165342,0.6654450154303858
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,400,0.955,0.95,2.0251430018591248,0.6629562064189194
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,400,0.955,0.93,1.9764476399697213,0.649118484424704
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,400,0.93,0.9025,1.9180927800187488,0.7329513335420673
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,350,0.9514285714285714,0.9371428571428572,1.9643445355020797,0.6351023384576394
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,350,0.9628571428571429,0.9285714285714286,1.954960506740531,0.6356163214869254
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,2,350,0.9428571428571428,0.8942857142857142,1.9269985688997189,0.6973564798378749
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,450,0.9533333333333334,0.9155555555555556,1.9291215793232688,0.7344738428091767
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,0.94,0.91,1.9153639020473168,0.7650917527915961
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,350,0.9342857142857143,0.9085714285714286,1.8882032203631174,0.7784083420230906
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.1,0,450,0.9733333333333334,0.9311111111111111,1.9277001620873897,0.6055283096965758
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,0.8975,0.855,1.734252999413186,0.845397459615682
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,350,0.94,0.8571428571428571,1.7657188993729993,0.7349621782862628
