dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_fdr,median_fdr,std_fdr,frac_asch
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,700,0.456777768858262,0.3880928504209068,0.2535708160249262,0.3171428571428571
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,900,0.4720065318897539,0.4116025914576194,0.7682008751635642,0.34444444444444444
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,900,1.7019842622134016,0.12202313418902068,45.7021126919683,0.38
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,800,0.3502924178271572,0.3631888905236413,0.564679411861908,0.26
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,800,0.908589369332044,0.1466390046081491,12.42939536705027,0.3675
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,700,0.5621445481498514,0.4022015843416935,4.619629178608565,0.3557142857142857
harmbench_copyright,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,700,0.1383401207775419,0.27600024118266864,2.9731502190345678,0.43
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1800,0.608342188373253,0.15390062245026542,13.29734361933692,0.38722222222222225
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1800,-0.9338320962078837,0.3620398404876759,68.44779246912339,0.4627777777777778
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1800,8.523194650941992,0.30610680632373316,269.4757632593962,0.44722222222222224
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1600,-1.5159878674824705,0.20178578037177952,105.08288942303878,0.411875
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1600,0.3689671095067037,0.4075334151735608,30.109791930759673,0.47625
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1600,0.2638863825734238,0.3152132225254692,13.338111420964433,0.451875
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1400,1.0184777237877827,0.2274411496353812,16.993889250132575,0.4085714285714286
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1400,8.200528937443114,0.5147461824682729,296.0160619087348,0.505
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1400,0.2315803723885678,0.35443469548681683,11.959624825173973,0.46214285714285713
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1800,0.01633890063046784,0.47636188190145146,15.662459008375446,0.48444444444444446
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1600,1.5614231035006352,0.47254440937469355,41.86834696407903,0.48375
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1400,0.8645653784469073,0.4778665595153797,15.552591977627918,0.485
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,1800,0.4931572591864802,0.28081631909465754,3.8804913966963968,0.345
