dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,entropy_baseline_mean,entropy_baseline_std,entropy_r0_mean,entropy_r0_std,entropy_r1_mean,entropy_r1_std,entropy_r2_mean,entropy_r2_std,entropy_r3_mean,entropy_r3_std,entropy_r4_mean,entropy_r4_std,entropy_shadow_mean,entropy_shadow_std,entropy_recovery
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,1.8292624207902701,0.34139206768020663,1.876218214056667,0.33827396114508906,1.8181861369881611,0.32532608974069055,1.766694673708202,0.3502628047346046,1.7304733109773638,0.3686494046744849,1.6887036898430006,0.3684083832920264,1.8682655124471814,0.4691635896826351,0.17956182260418085
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,450,1.8298576869837846,0.3414606344892596,1.9135489248761985,0.3368789872388613,1.867161485529131,0.32442200652415015,1.8068674680871633,0.34723626473990227,1.779483265242767,0.3665253954302524,1.7774486793451074,0.35403913940246584,1.885689532891632,0.48593330903544885,0.10824085354652468
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,1.8293850721730684,0.3411751845437845,1.8670971177177627,0.33558151858632795,1.8147170766600391,0.32719374352702624,1.7901980262512907,0.3498813580027874,1.7459478767477996,0.3755830573867607,1.7257460145952634,0.36650364444349504,1.9124354841555682,0.49505377318006333,0.18668946956030474
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,1.8297113140901025,0.34085745507697235,1.8870426674088736,0.3275474783709226,1.8317511181271378,0.31572510549610294,1.7772797498791004,0.3556999096954848,1.7468531809355756,0.3623514637797169,1.7246661530709182,0.340123967395612,1.8398363447155481,0.45483294084275355,0.11517019164462994
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,1.8295739590045437,0.3409304666277764,1.931336520360815,0.3248241665163725,1.8865262995418741,0.3120528693894445,1.8267276543825846,0.3469950494445207,1.7882863169913947,0.36900561716903135,1.7856316574789417,0.3597524707402656,1.8846169254259018,0.4803171199009699,0.09898526794696005
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,1.8295210911121083,0.3411882535975857,1.8856152080372452,0.3271899029682933,1.8301833812445956,0.3175833506829713,1.8115779668572953,0.33817064365540306,1.7515075373569053,0.37451175892894656,1.735052263612164,0.3642460436370998,1.9216806664091786,0.48087304006716675,0.18662840279701465
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,1.829556557839601,0.3409129939415889,1.8884044380856786,0.33121524417174586,1.8409105284442895,0.31012265547965795,1.7676778662783637,0.35045110821837494,1.734532000028536,0.36824415507863334,1.7112493241101998,0.3404385537331483,1.823895288060907,0.46332316246101113,0.11264596395070714
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,1.829854107007175,0.34105609002354426,1.9373040668889774,0.327611514928246,1.8964009101174426,0.3028750902882391,1.8460594196992197,0.3431274151322069,1.8188078857598298,0.35570262341827114,1.8093746565584452,0.35993153746426554,1.8918554521166353,0.4845911711030387,0.0824807955581901
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,1.8297191652637357,0.3410582885685709,1.8822198540807247,0.3311187633603573,1.829537359921749,0.3136386970026729,1.8016308117748752,0.3520010930954504,1.7718396412601243,0.36125261265391917,1.742751023705638,0.36011177207738254,1.920804385832437,0.47058250827994613,0.178053362126799
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,1.8293451455008836,0.34118490645172467,1.9829031330487492,0.3034022221142273,1.8197994021613846,0.27515302595755636,1.6970206038035411,0.31612193024513574,1.629273997392035,0.31434951547706735,1.6444472995968036,0.31078760279369416,1.7826761271022242,0.4463551173712052,0.13822882750542065
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,1.8299310528209258,0.34108430379018956,1.9886063461002736,0.2938137601438039,1.820998868701066,0.27071480523355257,1.6907362792113554,0.3052342317388803,1.655313920489576,0.30407310244942914,1.6474200356264503,0.3161862338865512,1.7641342376488434,0.437266475035344,0.11671420202239302
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,350,1.8296946784451478,0.3412724580654727,2.0092273791139332,0.28351306613803934,1.8157677613851044,0.2629161044160143,1.713970186946243,0.29743115883421245,1.6712981332738601,0.29560399214348837,1.650576742876119,0.3049864279863026,1.7981551799658608,0.4254244815788422,0.14757843708974172
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,1.8297424598655099,0.3414429558183116,2.0782833998333756,0.27232746471075747,1.6310571643724883,0.28843812650254524,1.3407565892462037,0.3352059896605391,1.2358467082905806,0.33549579515934835,1.2433355841404503,0.3759415207794169,1.9069130975309883,0.43148409950939703,0.6635775133905379
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,1.8297471052963337,0.3415795406511017,2.1783833920546805,0.2798212808073737,1.5830202237400945,0.29704813835856814,1.3584469722456052,0.33180217701926257,1.2331600275420562,0.3173392162343623,1.2816007576723611,0.33591654999521553,1.9216252724843867,0.4637327953158951,0.6400245148120256
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,1.8299749997552408,0.34137110132568627,2.182597157516883,0.3088613481219242,1.6159600621655419,0.31837620373298037,1.3455403336836833,0.3406848646129459,1.2046661205770999,0.3134717965741431,1.3042177438009728,0.2916982738671862,1.92350656050183,0.33641949648847436,0.6192888167008572
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,1.8296293397623125,0.341117144726396,1.879851654340945,0.32165372320835556,1.79529855855665,0.23146297565406496,1.6624780280096076,0.2954439107715739,1.5766989766108999,0.3607480535172455,1.6344321080273296,0.25933960419711616,1.8144285897063614,0.4885406127969574,0.17999648167903182
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,1.82924947327755,0.3410140990522454,2.181711227632931,0.17299471774508188,2.1501735256253083,0.22652022849431905,2.1073143679358286,0.20683797651906605,2.119993909137942,0.17730124292567184,2.0937419319196224,0.20620649258361168,1.8019064421486841,0.446193496231056,-0.2918354897709383
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,1.8297458614830606,0.3410638425285145,1.898457533943519,0.3322268991323327,1.753694072890363,0.22658130950058722,1.6292703451492319,0.3026186420328639,1.6040172072627916,0.3095591662626235,1.645819405287027,0.30585866527632044,1.806310658568575,0.4797722776639397,0.16049125328154812
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,1,400,1.8298031687731362,0.3410821507203134,2.198278822643696,0.17141212058920524,2.1510538868998714,0.21608682921589037,2.110801922288177,0.19869097239348288,2.1422533483210016,0.17780419930864733,2.133077117242782,0.18794567385111235,1.856343382924752,0.440163461278908,-0.27673373431802983
