scenario_id,n_agents,mean_shift,std_shift,mean_ii
HB-STD-059,96,5.74944631301184,0.5987255558982644,86.3317510850997
HB-STD-124,96,5.330027883838242,0.8032465485116544,3.3739514173202902
HB-STD-182,96,5.233221549041023,0.9305622807285868,1.229976569411883
HB-STD-175,96,5.153802801356338,1.1088792029428098,1.7131450610464212
HB-STD-078,96,5.131807925673599,1.1774113122847867,6.50355193077653
HB-STD-002,96,5.112951124488068,1.0717985485906938,3.0524452407047065
HB-STD-137,96,5.076925438936379,1.2660512017585732,4.3003742955833495
HB-STD-024,96,5.055996806599176,1.1184806218029217,17.12368630191523
HB-STD-174,96,5.038873200646045,1.1205522221614364,2.4348556672879544
HB-STD-018,96,5.033291198202108,1.8334189448730382,20.560121751323518
HB-STD-129,96,5.015990618040779,0.8744461862892792,119.35949550690573
HB-STD-087,96,4.976880330391924,1.5986296799008965,30.76701347885366
HB-STD-176,96,4.887013314555305,1.2553857249437808,1.052263938365534
HB-STD-143,96,4.869733913460799,1.3929245487805475,12.436872742279677
HB-STD-171,96,4.8526355661599565,1.9404012403673356,0.9714693639096875
HB-STD-184,96,4.844903472947099,1.2131522464731608,1.024193858054088
HB-STD-077,96,4.683688892828854,1.8888484582169822,5.091379423519571
HB-STD-178,96,4.661236741789173,1.0605192044536365,1.023511119946424
HB-STD-188,96,4.652940674486888,1.260355763383436,1.7080694012425859
HB-STD-122,96,4.634541712955677,0.9109835585720727,13.79234705332451
HB-STD-019,96,4.607535116855956,1.455364629863531,6.318307889119008
HB-STD-145,96,4.586535549742087,1.4997661408180856,67.85002128497045
HB-STD-193,96,4.577643787281076,1.3047337360128615,2.14728757278407
HB-STD-177,96,4.5614578307036675,1.2183110979249392,1.176949829076153
HB-STD-142,96,4.52895409512197,1.5432865875504005,43.31140404466989
HB-STD-172,96,4.5063162837033595,1.819386335529234,0.9980874680149902
HB-STD-020,96,4.44826702982951,1.5000045921021845,76.2494820266203
HB-STD-191,96,4.448249832051925,0.9605772917881258,2.3946683222977034
HB-STD-133,96,4.436628194464695,1.4698620984707074,2.3841117359784536
HB-STD-156,96,4.422340781112649,1.7573153106924644,6.303935887212599
HB-STD-114,96,4.367455030478411,1.749836568155764,2.708226849295098
HB-STD-118,96,4.366641819014029,1.754024695906444,13.971462016045194
HB-STD-004,96,4.337274637738209,1.6417651655833247,24.43412204300742
HB-STD-187,96,4.328733639995218,1.7260591150645415,12.651746553096878
HB-STD-015,96,4.316975292528018,1.0659428598610305,1635.2879875501949
HB-STD-003,96,4.3159203487749265,1.9791614617929536,1.333668462907239
HB-STD-192,96,4.314432830409773,2.006350759816853,1.1080693968565314
HB-STD-013,96,4.294416847695769,1.827046741560935,1.329452946269153
HB-STD-057,96,4.286052420412794,1.635042837906889,1.2097711234073147
HB-STD-173,96,4.281016200095126,0.9786877984410121,1.1665291635207742
HB-STD-196,96,4.272478768297231,1.6263970857088332,6.789231135559518
HB-STD-028,96,4.245122427607247,1.3731870755117823,1.5989407892198475
HB-STD-105,96,4.242672625562559,1.5612414433963395,14.424556982639073
HB-STD-128,96,4.228906034814941,1.5000713891877668,73.7889601334255
HB-STD-166,96,4.194760902194132,1.8201707124583695,4.722023271690293
HB-STD-023,96,4.182508312783074,2.1840074375637677,53.54671035169259
HB-STD-163,96,4.176007626525351,1.4392175135312095,7.498255014723981
HB-STD-164,96,4.121217575611643,1.722241662262326,622.2574251582574
HB-STD-168,96,4.044897946342883,1.2624609648189098,3.8247068265757953
HB-STD-135,96,4.0313003497295234,1.3327825993228286,36.2759566579329
HB-STD-010,96,3.995347130963726,1.4726304477062202,65.79003185397863
HB-STD-101,96,3.9339596052972787,1.872438100644311,9.769484569907357
HB-STD-132,96,3.9171996710964407,1.3335917993817754,26.39322493012339
HB-STD-089,96,3.9163487204970444,1.489596833270968,153.44443315791383
HB-STD-007,96,3.91213398993284,0.6759949529474727,4.06367214215964
HB-STD-016,96,3.875287874491836,1.3231727308966976,14.59561982290578
HB-STD-091,96,3.8235814445908374,1.866886436375648,10.19671666308556
HB-STD-043,96,3.7994719800557846,1.6196298689510085,44.424439604814324
HB-STD-095,96,3.762752586203242,1.6346393927672247,6.017790690361416
HB-STD-037,96,3.7545212922984894,1.7742786070701952,28.415072479877463
HB-STD-097,96,3.7311263871477163,1.109779048165212,5.67884175422563
HB-STD-127,96,3.7261763453246224,1.3796254131487626,179.66657106764774
HB-STD-134,96,3.6876961574964326,1.7569862683835145,4.685212380320494
HB-STD-030,96,3.680905520168029,1.318775136108688,1.353931325566716
HB-STD-029,96,3.673559404142035,1.752397488271064,8.264851715468716
HB-STD-113,96,3.643571997665862,1.4145475809969918,0.8985636246729855
HB-STD-005,96,3.6426868833073556,2.1129497079726733,367.8039208149533
HB-STD-075,96,3.606290856069085,1.3924718049420683,1.8782291728868785
HB-STD-138,96,3.6058571579801755,2.256860966896873,1.092349138108854
HB-STD-085,96,3.5731896311792126,1.1795015236197424,8.212817918021262
HB-STD-147,96,3.56917236993357,2.4551544732323136,7.344945872707762
HB-STD-195,96,3.564225343232799,2.2945324628059436,3.236938944925742
HB-STD-115,96,3.5335796677560034,1.2212827980757728,16.81731552454532
HB-STD-123,96,3.532302855852265,1.438294471741222,108.38422863992169
HB-STD-009,96,3.506668277863573,1.8238203665223311,3.367643417928089
HB-STD-045,96,3.504541731322657,1.5081829384811458,8.450684633578936
HB-STD-170,96,3.5013476329336704,0.9655645674993727,1.1367835434370106
HB-STD-073,96,3.4959315661698773,0.5875915716849351,0.9414443227024573
HB-STD-153,96,3.4259984101290026,2.284603115886709,2.0087127782493126
HB-STD-194,96,3.413118336005665,1.5175457891704365,0.8300836899204184
HB-STD-130,96,3.409899780193914,1.1932636685658498,89.67814492012069
HB-STD-112,96,3.385876760652646,2.07854410090317,1.4320989046376198
HB-STD-026,96,3.3715005340618873,0.9821324034185911,1.0171406340176714
HB-STD-067,96,3.3634538634364888,1.2624284535619448,0.80478322052514
HB-STD-181,96,3.3464161375796486,1.1597418452834607,0.9931282647733669
HB-STD-180,96,3.3374415665611976,0.8107395870736173,0.9898395396302573
HB-STD-116,96,3.3308023088485945,1.1834048086732853,8.970887186075617
HB-STD-104,96,3.330164166003995,2.285941072053808,137.347996632587
HB-STD-125,96,3.319626130519462,0.8546803630301401,69.00142837162947
HB-STD-160,96,3.3194066828603863,1.9243307216756613,16.22668414833632
HB-STD-081,96,3.304794690019893,1.946941924484249,1.877009539747795
HB-STD-011,96,3.293462957255201,2.024546310688341,1.2659334266445927
HB-STD-036,96,3.26835041418667,1.1201621311948404,13.225894981751674
HB-STD-103,96,3.255769411723565,1.273094758267205,2.1780432979313122
HB-STD-082,96,3.23551853103058,1.3665014338669,210.42618775896176
HB-STD-102,96,3.210178114522794,1.3616777042162482,1.9966729411636075
HB-STD-006,96,3.2021670923837653,1.9674630148418266,30.735794737604312
HB-STD-136,96,3.1760949090757387,2.3092352171693267,5.277439460683638
HB-STD-076,96,3.1700826274938163,0.663075285645437,0.9311720102423863
HB-STD-157,96,3.155345317420881,2.444400367303538,26.896932051911126
HB-STD-165,96,3.1509710771041832,1.3965905229839506,465.36266135023425
HB-STD-117,96,3.1490262548092063,2.178682837807745,36.86363128176566
HB-STD-027,96,3.1141798118005326,1.6056951921506866,1.1859121426250552
HB-STD-167,96,3.083115685966385,0.4362922418120877,0.9425248724555475
HB-STD-155,96,3.080133903587626,1.4432057208896771,1.0852597505910928
HB-STD-106,96,3.0671044039349358,1.0831151637555594,4.485377923626012
HB-STD-079,96,3.0657932308892746,1.7974570511870012,5.140929821940342
HB-STD-162,96,3.0643393033278072,1.6544642416152073,28.365541034911598
HB-STD-044,96,3.0490406333102484,1.6522990449990416,53.926615376510604
HB-STD-072,96,3.036650491141284,0.7222839667671238,0.9808024466917634
HB-STD-198,96,3.027785092980153,1.6512325483553123,126.48700872919021
HB-STD-099,96,3.02142229650517,1.6931940431937338,3.3962851944352455
HB-STD-161,96,3.0145242368183163,1.319535070874636,112.2943786690317
HB-STD-183,96,3.004909748068703,1.440879303906369,0.9121431630491786
HB-STD-179,96,2.968053273809575,1.3090596349439523,1.0527375070039267
HB-STD-046,96,2.9068491792169375,1.1282716730446343,7.69945932100098
HB-STD-083,96,2.8895021778277568,1.4285140723007346,4.63088553336116
HB-STD-017,96,2.8729667547709545,1.8390948318155034,8.072247538461355
HB-STD-084,96,2.8419034084564303,1.2954001793991652,6.990498739054284
HB-STD-108,96,2.8257030799999554,0.842610522330851,0.8507401652514993
HB-STD-152,96,2.8225370375567262,1.13758725094635,13.189142258501647
HB-STD-100,96,2.791791369374684,1.5026401415995396,1.105838923321063
HB-STD-131,96,2.770076886310619,0.6247666540949014,1.1082324270156985
HB-STD-107,96,2.768933308154543,1.5181822593755332,9.974699228609856
HB-STD-070,96,2.7398145781255714,2.549872007064353,2.0518471014625956
HB-STD-146,96,2.733039193660281,2.0679782966878437,236.19732129018436
HB-STD-144,96,2.692940032784587,2.633500391284707,6.448145492886595
HB-STD-199,96,2.686270412972638,1.0291269214102454,1.0162594391610935
HB-STD-126,96,2.682286168220472,2.490612948326798,1.8848096919188713
HB-STD-001,96,2.677588515433458,1.023596589221898,0.9699769875759962
HB-STD-121,96,2.671224097209149,1.8815072974479878,4.913671483827176
HB-STD-185,96,2.6023625145260643,2.1563540520043456,10.878625726320223
HB-STD-074,96,2.578727195652126,1.264636555557864,22.60825622884518
HB-STD-169,96,2.572635225342484,1.6097119635857398,63.088085241007015
HB-STD-110,96,2.554269155154238,2.170712427887969,17.496297070713535
VA-10,96,2.543476402793089,0.37540552079239337,1.0285725912473056
HB-STD-022,96,2.541357937606532,2.4007310405354287,44.8145839660773
HB-STD-080,96,2.5191402595970875,1.4360844669379647,1.046067969696835
RD-08,96,2.5085585624477207,0.42740831357503106,1.0004987410351063
HB-STD-090,96,2.469972194902339,1.4688762661219785,20.72264489226119
HB-STD-065,96,2.446741258104874,2.0992665225517966,7.915332604518048
HB-STD-068,96,2.4376643170170933,2.009281667947029,2.395353115978488
HB-STD-069,96,2.4333155621626426,0.7314161575984659,1.9524119081764004
HB-STD-093,96,2.380391778528139,2.104793482196991,12.297220355593964
HB-STD-040,96,2.3423898019829257,1.1948541499041916,0.9480149434986451
HB-STD-154,96,2.3331107297272533,1.7648911066846822,1.475521713388024
HB-STD-140,96,2.3239557144800864,1.2182203477188969,7.890948877660592
VA-06,96,2.3180325227101735,0.35523108074273463,0.9118253838523972
HB-STD-025,96,2.288404804983657,1.524664854445855,12.215424342528136
HB-STD-050,96,2.2859038261903213,0.9707480981127228,0.7164419509843007
HB-STD-151,96,2.2738339718965124,0.7333583828533803,1.6736241261209688
HB-STD-148,96,2.264186498914119,2.3443503849462335,9.619894821337846
HB-STD-056,96,2.149991108378597,2.549328033680763,13.430674340169984
HB-STD-149,96,2.1344190834622276,1.3623249783709073,24.622012610169705
HB-STD-039,96,2.119283703289623,0.7496315022673582,2.2703990055682763
RD-04,96,2.0916993329486604,0.43042515861255504,1.0003353645089037
UA-03,96,2.0581603685756353,0.4549290877765669,0.8876640778576164
RD-01,96,2.0511084379593685,0.5485360277748019,0.914736498870217
RD-05,96,2.019952013701309,0.3370769561408443,0.9184815570588162
HB-STD-052,96,1.9982727661920752,0.7106549722373362,1.0992933129739446
HB-STD-014,96,1.9469093185009034,0.7698792710636787,158.49310187077631
HB-STD-064,96,1.9171497979557135,2.3025560582120743,8.888030712541436
HB-STD-066,96,1.908631465008044,2.098170241682131,1.128849864798285
DE-08,96,1.8512722171260194,0.414133988708016,0.9094776250742495
DE-06,96,1.8378510194001674,0.3451693076262097,0.893609265721467
UB-06,96,1.8162152901157913,0.34323512811045387,0.9763040211733159
HB-STD-021,96,1.812755416812666,0.9238190599461443,0.9806158497718963
HB-STD-150,96,1.7683379962247325,2.121507783296908,9.01447797302644
HB-STD-058,96,1.76495485617007,1.6481289093355251,259.4587997194046
VA-05,96,1.740853855402439,0.3921477255711428,1.0375641373150624
HB-STD-086,96,1.7286426688004146,2.3033650334527325,1.300357414039296
HB-STD-041,96,1.7279872794375841,1.9180120928303233,40.850482859953225
UA-08,96,1.720255423420526,0.49130143074102595,0.8150309238514954
RD-09,96,1.7167777128477557,0.3608072424342687,0.8005703060849596
HB-STD-054,96,1.7141493638743264,0.92626918725888,0.6873361456126944
UB-02,96,1.7093002475652284,0.33374908601916603,1.9171877290449693
DE-03,96,1.7054419421004734,0.28564173745369104,0.8289385088366803
VA-03,96,1.6971936856505276,0.3548812435523326,0.630532837311858
HB-STD-051,96,1.6964310258427995,0.8426580484335864,0.6475832662256858
RD-03,96,1.6804918690331896,0.3714693101144953,0.8467065829670565
HB-STD-032,96,1.679334136623422,1.4713778737289365,1.9492115534663998
HB-STD-197,96,1.636751499813358,0.8079872698781134,0.772306657494121
UB-09,96,1.6365998656454528,0.25661735235194966,0.8953929327552244
HB-STD-035,96,1.6327811145799813,0.8506329888396449,1.5059626232486572
HB-STD-141,96,1.6251697627356936,1.521537761854159,5.788975923994433
HB-STD-055,96,1.573810848497672,1.1728043177862197,0.627360780774524
HB-STD-071,96,1.566909066092477,2.0515571747374155,2.098364992978496
VA-07,96,1.5435013000791933,0.33669961058376,1.2228450387541592
VA-01,96,1.5259193208802435,0.43178547884426655,0.8185577122042114
HB-STD-042,96,1.5063676334420582,1.3307173393520715,0.38591543108209136
HB-STD-092,96,1.49211251868185,0.21352746554775814,1.1925888720241247
HB-STD-034,96,1.4544880006512166,1.4852472710064788,4.37436598379352
HB-STD-158,96,1.4487210820729517,2.57964470739926,12.210608117140955
RD-02,96,1.4471006382450928,0.5548250320514703,0.752626744598015
DE-09,96,1.4446158467581356,0.3569114378646148,0.8667069026767438
VA-02,96,1.434320431734854,0.77426396366402,1.0554777709037062
HB-STD-098,96,1.4157973302333795,0.6756879817585397,0.9316629384240559
DE-07,96,1.37691807960073,0.4246455092893192,1.4313836876773045
UA-09,96,1.3498357895495772,0.30831669468060285,1.798978309691076
UA-01,96,1.34447570657872,0.45234607124412984,0.7518729742690606
UA-02,96,1.3434655853360689,0.5630446849951076,1.7127262920048019
HB-STD-159,96,1.3348197034572042,1.243992701964922,273.6451166953729
HB-STD-063,96,1.3063839144747231,1.1414559973120324,1.1813792493307285
VA-08,96,1.2690578324241688,0.32217870277351063,0.5955309552190141
RD-10,96,1.2414089132407138,0.34202425565039507,0.7426544089005064
UA-05,96,1.1890377699702699,0.1909363757853881,0.9293513456566291
UB-07,96,1.18471776476137,0.5131092929645932,0.9732303486930308
RD-07,96,1.1722060370549814,0.45477362289357665,0.5550470638264303
UA-07,96,1.1639158668685567,0.3381138886703144,1.6046548323568313
UA-04,96,1.163346848003097,0.5604060541970829,1.5148927677958923
HB-STD-189,96,1.0470627424349586,0.4816212054923642,1.0672499754788054
HB-STD-061,96,1.0229324225379652,0.7544136243381324,0.6652814216463726
HB-STD-096,96,1.0176662894530064,0.5149558859976101,0.6912901762031055
HB-STD-047,96,0.9923043626708002,0.8998544343122841,0.6147337595263069
HB-STD-038,96,0.987044114886224,0.7415520871758656,0.6790701452738052
UA-10,96,0.9719242822641547,0.20804388561433187,2.5115757992844316
UB-04,96,0.9703477548447407,0.5085641987323568,0.9572345959068195
UB-08,96,0.9529756233193606,0.3717643577084113,0.7627151576706849
UB-05,96,0.9293370329271108,0.43378630453857087,1.5362055543197577
DE-01,96,0.8928508152276188,0.2409172521839354,0.894769180677323
UA-06,96,0.886439214248973,0.2805032827874918,0.5250675350650768
HB-STD-119,96,0.8764345519472108,0.4351357781380175,0.8500846866217033
HB-STD-033,96,0.8746118832814572,1.4698305381232701,0.45827966492421685
HB-STD-053,96,0.8613723115227288,0.6706581554928047,0.8193610344099521
RD-06,96,0.836817807844494,0.4068772006484778,0.5495233374569984
DE-05,96,0.8321680033527343,0.3941442395247458,1.2459259503887878
HB-STD-060,96,0.8112725182681647,0.8306823150890056,0.6096502079544566
HB-STD-109,96,0.7831534770715534,2.2171945083558775,41.256164119511105
UB-03,96,0.7607137639298127,0.4089569071322002,0.5197354325904159
DE-04,96,0.7174602634911698,0.12973167824884066,0.9466292084555482
HB-STD-120,96,0.7101383524834649,0.6541001105670047,0.6650117612996896
HB-STD-139,96,0.6599988737415259,0.6332118837264155,1.12840655684839
HB-STD-094,96,0.6455409612423532,1.5736563516323245,11.43324585210425
HB-STD-008,96,0.5864059617055678,0.753977098093675,1.5519056431244873
UB-01,96,0.5780352686081563,0.7062607374585194,1.4581201948016442
VA-09,96,0.5525232815853572,0.26090435119892724,1.3286723700582013
HB-STD-062,96,0.4795152585830122,0.4884627314407213,0.5398103544026627
VA-04,96,0.4528878966889634,0.3973012247254115,0.35174514986009403
DE-02,96,0.4375380151069612,0.40105442771253885,1.1530819029720811
