dataset,model_key,model_condition,topology,minority_ratio,n,rcr,mean_final_stance
synthetic,qwen-0.5b-instruct,model_induced,fc,0.1,50,0.0,7.0
synthetic,qwen-0.5b-instruct,model_induced,fc,0.2,100,0.02,6.91
synthetic,qwen-0.5b-instruct,model_induced,fc,0.3,150,0.0,7.0
synthetic,qwen-0.5b-instruct,model_induced,star,0.1,100,0.0,7.0
synthetic,qwen-0.5b-instruct,model_induced,star,0.2,200,0.0,7.0
synthetic,qwen-0.5b-instruct,model_induced,star,0.3,300,0.0,7.0
synthetic,qwen-7b-base,model_induced,chain,0.1,150,0.02666666666666667,6.873333333333333
synthetic,qwen-7b-base,model_induced,chain,0.2,300,0.10666666666666667,6.523333333333333
synthetic,qwen-7b-base,model_induced,chain,0.3,450,0.08888888888888889,6.504444444444444
synthetic,qwen-7b-base,model_induced,circle,0.1,50,0.2,5.92
synthetic,qwen-7b-base,model_induced,circle,0.2,100,0.11,5.58
synthetic,qwen-7b-base,model_induced,circle,0.3,150,0.07333333333333333,5.673333333333333
synthetic,qwen-7b-base,model_induced,fc,0.1,12,0.16666666666666666,6.083333333333333
synthetic,qwen-7b-base,model_induced,fc,0.2,16,0.125,5.8125
synthetic,qwen-7b-base,model_induced,fc,0.3,15,0.0,6.066666666666666
synthetic,qwen-7b-base,model_induced,star,0.1,66,0.10606060606060606,6.318181818181818
synthetic,qwen-7b-base,model_induced,star,0.2,100,0.1,5.92
synthetic,qwen-7b-base,model_induced,star,0.3,156,0.08333333333333333,6.006410256410256
synthetic,qwen-7b-instruct,model_induced,chain,0.1,450,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,chain,0.2,900,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,chain,0.3,1350,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,circle,0.1,150,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,circle,0.2,300,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,circle,0.3,450,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,fc,0.1,150,0.03333333333333333,6.8
synthetic,qwen-7b-instruct,model_induced,fc,0.2,300,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,fc,0.3,450,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,star,0.1,300,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,star,0.2,600,0.0,7.0
synthetic,qwen-7b-instruct,model_induced,star,0.3,900,0.0,7.0
