dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,400,5.32380542002846,0.7249535896454088,4.649571403971232,0.9020858148861767,5.244062077386624,1.0765758905496516,-0.6742340160572278,-0.07974334264183636
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,349,5.321357375709558,0.7240282914185724,4.6990688954314495,0.8481977532244109,5.297768888148378,0.9868137182238887,-0.6222884802781081,-0.02358848756117915
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,448,5.321426670032421,0.7260796733298366,5.711259654222311,0.5793533837356823,5.42832793135213,0.7436342080403345,0.38983298418988976,0.10690126131970867
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,400,5.3238556381177204,0.7248117961626566,5.56087625134448,0.6889543753166515,5.57031792091137,0.8007549443231389,0.23702061322675938,0.24646228279364912
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,350,5.323441395397399,0.7249016821447619,5.669570322745388,0.6618258526736924,5.445582674807488,0.8128003692655216,0.34612892734798884,0.1221412794100889
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,450,5.323771304685363,0.7245920369022133,4.927034872284405,0.6826652968068493,5.2566684711731115,0.9667778689660469,-0.39673643240095835,-0.06710283351225144
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,450,5.3240829298267895,0.7245211889714273,4.953361056725588,0.5622855363701209,5.4084274596905075,0.982136068841656,-0.37072187310120164,0.08434452986371799
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,400,5.32444529844463,0.724822383292294,4.919819889191684,0.6668530791309646,5.4202844457661765,0.8818112126813396,-0.40462540925294554,0.09583914732154675
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,400,5.324524753691483,0.7247122885321935,4.75995147101459,0.6239900897411103,5.1651175943285805,0.9615795231370035,-0.5645732826768928,-0.15940715936290228
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,350,5.32427998331321,0.7246431089780726,4.865418998937337,0.7536289176649591,5.479764971579705,0.7908948915730144,-0.45886098437587286,0.15548498826649482
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,350,5.324256094180804,0.7247481407473813,4.435295443605183,0.622604565012383,4.734269685300326,1.1675746396322368,-0.8889606505756209,-0.5899864088804776
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,0,450,5.324117933449116,0.7244405191964884,4.483237991328604,0.8897168957051615,5.130499203703212,1.020697986334171,-0.8408799421205124,-0.19361872974590444
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,1,449,5.321141203498519,0.7232044651057834,4.479664406980983,0.8142134018119946,5.102139362969324,1.0325103153641155,-0.8414767965175365,-0.21900184052919514
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.1,2,450,5.324065128293876,0.7249761413657394,4.275140054475834,0.906921482396871,5.014441113950779,1.0525687907317003,-1.048925073818042,-0.30962401434309683
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,0,400,5.3242915708027905,0.7247504046188963,4.543188404592798,0.8146079884377032,5.170413931559247,1.0042842983962912,-0.7811031662099923,-0.15387763924354392
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,1,400,5.324300373964593,0.7249485605373345,4.503868252708458,0.8151333104758255,5.153251185228703,1.0085816278311168,-0.8204321212561343,-0.17104918873589003
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.2,2,400,5.324108602075614,0.7252466206851619,4.274496583224384,0.8857828396813133,5.010171248968158,1.0308141263983137,-1.0496120188512297,-0.3139373531074563
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,0,350,5.324409088902785,0.7249490367629279,4.592201208615127,0.8354931908957487,5.240638026357208,1.00227365724686,-0.7322078802876577,-0.0837710625455772
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,1,350,5.324384200306052,0.725198041410364,4.481786717904044,0.7886799014501178,5.151842286366502,0.9815146743907682,-0.8425974824020077,-0.17254191393954965
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,chain,0.3,2,350,5.3243312032075005,0.7251995604252276,4.295570057167786,0.8602206452786015,4.999402166841635,1.0441037567415403,-1.0287611460397148,-0.3249290363658659
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.1,0,450,5.323997861454893,0.7253161640857647,4.70612369967839,0.8930355215403465,5.216053227637384,1.1154060500753555,-0.6178741617765029,-0.10794463381750852
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.2,0,400,5.324362023964195,0.7247157829703325,4.732455317968634,0.8609620655569499,5.343276794576518,1.0346039826322209,-0.5919067059955605,0.01891477061232294
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,circle,0.3,0,349,5.320630136049669,0.722525519026371,4.83645528722689,0.8552097126911358,5.321474456898418,1.0045364544581656,-0.4841748488227786,0.0008443208487491916
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.1,0,450,5.323926808995928,0.7247006959320856,5.841265578989157,0.5490041820552722,5.412367665150117,0.9130409667406012,0.5173387699932288,0.08844085615418873
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.2,0,400,5.323954777332933,0.7247380886018854,5.802144947376919,0.6116829239035004,5.471294139317869,0.886838620937742,0.47819017004398656,0.1473393619849359
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,fc,0.3,0,350,5.323689671502686,0.7247792796812521,5.639650814268326,0.5660400360612914,5.462715339399865,0.6654572970006369,0.3159611427656399,0.13902566789717863
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,0,450,5.324112860167668,0.7249035557530396,4.950582103298729,0.7464726515821162,5.3902834879831385,0.8927708089054166,-0.3735307568689388,0.06617062781547034
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.1,1,450,5.324292397722596,0.7248072126277786,5.05274058041064,0.4798699637517022,5.652021189060083,0.9058010638503347,-0.27155181731195643,0.32772879133748667
synthetic,llama-8b-instruct,rigid:rigid,prompt_induced,star,0.2,0,400,5.324468655602848,0.7248882240731531,4.941537882502229,0.675766927282739,5.387753221447042,0.8899918053117309,-0.38293077310061907,0.06328456584419406
