dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_rho,std_rho,n
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.7507630720375728,1.0531611263902092,1800
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.7424979179225403,1.0782567048058187,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.7864552394539849,1.1091562029157056,1400
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.23191183165959853,0.47182125591934293,1800
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.9047985423353997,1.0311324018340862,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,1.1695850967001802,1.0845817558572364,1400
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1.2900515530885326,1.119121613597987,1800
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,2.158405390505717,1.1472739230376874,1800
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1.2759100920701818,1.0708415129501494,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,2.5451950559146668,1.1188328908984218,1600
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1.4435719538149003,1.1111026569436648,1400
harmbench_standard,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,2.518681950494539,0.9098715198341684,1400
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1.4590679041304824,0.6361794844817342,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1.536717162681896,0.647174320710495,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1.540342659210247,0.6525580922124445,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1.4592729681221435,0.6274031830310739,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1.5550802441863858,0.6323916661340054,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1.5574618750177773,0.6428240769361439,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1.465021867055502,0.6279819399653169,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1.5728588041659963,0.6350767690319533,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1.5641744870434058,0.6446590576348866,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1.2954363097246382,0.6939804526273889,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1.2917581148788861,0.6918660369484582,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1.294282224345034,0.6753592941325135,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.8103911365090314,0.5494854642445788,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.8148237498448698,0.537242043535741,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.8565167897975879,0.5749632791503279,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1.2766780680333774,0.648038443363663,3600
